season,episode,character,dialogue
4,Edge of Tomorty: Rick Die Rickpeat,Summer,Nothing. I didn't say anything. I was just playing along with you guys.
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"You know I record everything, right? Garage, isolate Summer's voice and play back."
4,Edge of Tomorty: Rick Die Rickpeat,Summer,"Oh, and then you guys can get married, and, like, suck each other off in a testosterone-addled fucking third-grade-boy cumfest and..."
4,Never Ricking Morty,Tickets Please Guy,"Tickets, please."
4,Never Ricking Morty,Ramamama Leader,Barkeep. A drink for my colleague.
4,Never Ricking Morty,Ramamama Leader,"I know the only reason to travel by train is to travel with weapons. And we all know that at the end of this line, There's only one creature worth killing. The man in the white coat. May as well take turns exchanging stories. Mine begins on planet Ramamama."
4,Never Ricking Morty,Ramamama Leader,"Lower him into acid. Once he's dissolved, lower someone else into acid. Is he dissolved? At least use the downtime to reset the acid lowerer. I really don't like the attitude around here. It's a very ""lower me into acid"" attitude."
4,Never Ricking Morty,Ramamama Leader,Who are you?
4,Never Ricking Morty,Ramamama Leader,How did you reach my sanctum?
4,Never Ricking Morty,Ramamama Leader,"All right, this is going in circles. Seize him!"
4,Never Ricking Morty,Ramamama Leader,Very well. Now I will fight you.
4,Never Ricking Morty,Ramamama Leader,"Anyway, he tells a different version of the story Where I start crying or something. That's why he has to die. 'Cause he's a liar. So... Why are you going to kill Rick Sanchez?"
4,Never Ricking Morty,Ramamama Leader,"If you're trying to be hurtful, you're doing a good job."
4,Never Ricking Morty,Clam Alien,I'll take his turn. Here's why I'm going to kill Rick Sanchez.
4,Never Ricking Morty,Clam Alien,Dissolve to a clam-shaped sun Rising over a giant beach.
4,Never Ricking Morty,Candy Santa Alien,"By then, of course, he had left toys And flesh drops for every one of us in the spore-hive. Ah, a newcomer! I suppose you think you have a better story about how Rick Sanchez saved space Christmas."
4,Never Ricking Morty,Goomby,I think the best way to answer that is with my Christmas Rick tale.
4,Never Ricking Morty,Goomby,Tell your Christmas Rick story!
4,Never Ricking Morty,Morty,Uh-huh...
4,Never Ricking Morty,Rick,"Morty? I told you if you found me again, identify yourself."
4,Never Ricking Morty,Morty,I didn't know it was you. How did you not recognize me? Didn't you create the disguises?
4,Never Ricking Morty,Rick,"When I create shit, it works, Morty. It's called being talented."
4,Never Ricking Morty,Morty,Why can't we find the engine?
4,Never Ricking Morty,Rick,"It's not a real train, it's a story device. Literally. A literal literary device Quite literally metaphorically containing us."
4,Never Ricking Morty,Morty,A simulation.
4,Never Ricking Morty,Rick,"Worse. An anthology. Okay, so how... H-How do we hijack it?"
4,Never Ricking Morty,Rick,"Oh, Morty, it's been hijacked for at least two full minutes. Are you not hearing this insane conversation? Okay, tickets please guy, stop the anthology. If we wanted one-offs, we'd do interdimensional cable, Not some uptight, overwritten... Rick? God damn!"
4,Never Ricking Morty,Morty,"Dude, I'm sure you've got, like, So many tickets at this point. Jesus! The tickets please guy is cut! He... he... he's... he's got those things. W-What do you call them. Uhm, cum gutters."
4,Never Ricking Morty,Rick,"Morty, gross!"
4,Never Ricking Morty,Morty,That's what people call them.
4,Never Ricking Morty,Rick,"Gross people. I don't want to have to picture cum so watery in such volumes that... Hey, hey, hey, stay back. I'll kick you. I-I'll kick your shin, bro. Aaah! Hey! I'll fucking cook and eat your ticket-taking ass!  Hey, I found a ticket.  Wow, you are just... Ladies and gentlemen, The Jackie chan of human shielding. Who takes the time to get this good at... Fuck this. Aaah... Structural breach. Losing continuity. Morty, hold on to something. Keep your head inside."
4,Never Ricking Morty,Female voice,Emergency continuity deployed.
4,Never Ricking Morty,Morty,"He is Rick! Jesus Christ! Is that the tickets please guy? Well, just the stub. Too soon! Too soon! Don't move! Too soon! So, what did the train cops do wrong? Shot... People? Hot passengers. Wrong. The passengers tampered with the anthology's structure. Lethal response was permitted, But not with him holding that tank. Let's take a look at what they should have done. Train cops! Hands in the air! Drop the tank! Drop it! Drop it! Drop the tank.  Sorry to nitpick, sir, but if there was A continuity explosion, isn't there always one? And doesn't that mean those two could be anywhere? What? No, you idiot, that... it's... it's just a training video. That didn't actually happen. That's what you think. Hey. How'd you get here? Yeah, like we're the ones that popped up out of nowhere? Fuck these guys.  Hey, what the hell? Your leg is healed. Yeah, it's a real free-for-all. Here we go. Of course this thing is just a fucking circle. You'd think it was so God damn complicated... Okay, here's where the stupid vignettes were. God, imagine if that had been the whole thing. So now we're here, and the engine must be here. I'll have to rig us a couple of space suits that start failing around here so we can  pay a heavy price for re-entering at this threshold. We have to leave the train? We don't have to do anything, Morty. This is just a structural guide. We're obviously gonna impart our own style. I don't like how meta this is getting, Rick. Shut up, Morty. You're 14. You watch videos of people on YouTube Reacting to fucking YouTube. I'll be the judge of when we get too meta. Holy shit. How is he still breathing? Aah! He's suspended in disbelief, Slowly dying while living out an alternative Non-diagetic reality. Geez, what a horrible way to die. You don't know the half of it. Oh!  You're on fuego with the guy-torn-in-half bits, Rick. That one was organic, though. That's because you're naturally funny. That... that's good old-fashioned fun Right there, you know? W-w-we don't need to over-think shit, okay? Okay, buddy. Nice and grounded, Fully immersive from here on out.  Right after this. W-What's happening? Going into an act break.  ? Not quite a bird  ?  ? Not quite a person  ?  ? Maybe what matters  ?  ? Is to love yourself first and  ?  ? Soar  ?  ? Child of air and land  ?  ? With wings and hands  ?  ? Yes, you're a bird and a person  ?  ? I'm a bird and a person  ?  ? And more  ? Sure, that was a great moment, But it was hardly the best time Rick and Morty were musical. Who can forget the t... Hey. You guys think there's something weird about this train? We've been here a really long time And nobody's taken our tickets. Aaah!  Aaaah! The galaxy's greatest scientists continue to ponder The horrific figure known to children as floaty blood man. But after three months, nobody is any closer to the truth. For cutesy name news, I'm uncle nibbles. I can't believe floaty bloody man is real. He's more than real, he's my new God. Check it. Is that brand-new, Or is the blood just... Accurately depicted, yeah. His followers believe the entire universe is floaty bloody man's nightmare as he dies in a time-dilated reality. So we could go at any minute. No. I'm part of the floaty nogasm brotherhood. We believe we're keeping him alive By redirecting our suppressed sexual energies. You're staying a virgin Just to keep the universe existing? That's... So attractive. It is? Okay, look, let's just do it once.  Sorry. Aaah! Happy now? He was suffering. Keep moving. We have to get to the return threshold Before the ticking clock on your suit gets to zero. Why would you put ticking clock... Because if it's too easy to get there, We'll never get there. If you don't want to be meta stop, deconstructing shit. That's the thematic seal. Gotta find a way to disrupt it. Okay, Morty, tell a story unrelated to us."
4,Never Ricking Morty,Morty,"Uh, what do..."
4,Never Ricking Morty,Rick,"Okay, just stop."
4,Never Ricking Morty,Rick,"Relax, your story was supposed to be awful and stupid. I just failed to predict how well that would mesh with the theme. Think. Think. What kind of story would we never... Morty, do you know what the bechdel test is?"
4,Never Ricking Morty,Rick,"Story lord. I should've known you were behind this, and I did."
4,Never Ricking Morty,"Who is this guy? Ugh. He's like a matrix space frasier. Let's get this fight over with, nerd. I've got shit to do. You of all people know, Rick, There can be no destination without a journey. I don't know that at all. I regularly teleport. Oh, of course. No rules for you. Spiraling through the multiverse, Burping semi-improvised dialogue about how nothing matters, So we may as well pull out our dicks and rub them On fate's glaring teeth like we're brushing fate's teeth But we're using your gross, dirty dick. Must be nice.  Nobody's stopping you. True. Not anymore.  Goddamn! We already did this. Oh, is this a double beat? Oh, well. Just how I adventure, dawg. This is more impressive than the tickets please guy, though. You are like 90% cum gutter. It's called discipline. Watch this. God damn. Geez! Do we have to fight him? I don't want to. We surrender. We're not fighting.  Ow! Ow! Fucking kick your ass. Ow! Oh!  Hey! Get back in your egg! What the... Don't worry, Morty! Nothing out there is canon!  We've got a pulse. Stay with me, private. Smith, listen to me. You were exposed to a chemical that is altering your mind. To beat it, you have to hold on... We're losing him. Aliens. Sarge?! Morty, never forget the highest truth of all... You're getting your ass kicked on a train.  Professor Sanchez? Did it work? I wouldn't say that, Marcus. I'd say it fucking worked. 100% time dilation and total immersion. Define ""total."" Marcus, I've been back in reality for three hours, and I still have memories of a completely different life. I-I-I was a scientist still. I-I-I was... I-I-I had developed Inter-dimensional travel, I-I-I-I had a daughter. I-I didn't have a mustache. I-I was kinda funny sometimes, mostly burping. No more secret testing. I can help people now. You've helped people. I've hurt more. Aaah! P-p-professor Sanchez. I-I'm Morty Smith From the... the... The the 241st. They... they... put your pill in our food. It... it works. Call the police! It's okay. It's okay. It's not real. N-n-n-n-nothing's real. I'm sorry, son. I-I-it's okay. You aren't real.  God, you're right. I should do more freeform stuff. In you go. What's happening? The reason I brought you here. I'll now fuel my anthology with your limitless potential, propelling it to its final stop... beyond the fifth wall. You idiot. Our potential isn't limitless. You'll never break the fifth wall Before you've burnt us out. Is that so? Oh, well. Win-win. Rick, w-what's he doing? He's trying to tap into us, Morty. Resist. I can't believe you're finally headed off to college. Yeah, you know, it really felt like you were gonna be 17 forever. For, like, 16 years, at least. I can't believe I'm tearing up over this. Jesus, Rick, you know, you've really softened up. It's a human moment, Morty. It's a human moment. Aaah! Aaah! It hurts!  Abradolph lincoler? I thought you were dead. I'm very much alive, and I need your help. Yeah! Shit, he's taking the good stuff, Morty. Wait, is... is any of this canon? It could have been.  Oh, dear. Are there things Rick Sanchez holds sacred after all?    How did you find us?  I trusted you! Don't blame others for your bad decisions.  Resist, Morty! Resist before he burns us out! Oh, too late now! What's wrong, Rick? Don't you want to see how your story ends?!   ?  ?  Holy shit, Rick. What do we... There... there... There's now way out! You're right, Morty. Sometimes it does seem like there's no way out. Like it's hopeless. But remember, there's always someone there for us. Who? My best friend and personal savior, Jesus Christ. What?! You... you don't believe in God. But he believes in us, Morty. You know, I thought I was the inventor, but the greatest invention of all is the free gift of eternal life. Is this... Are you fucking with me?  Oh, trust me, Morty. I've done plenty of effed up stuff in my life. But it's never too late to accept Christ. Jesus is always knocking at the door. All we have to do is open it and let him into our hearts. How? I'm so glad you asked, Morty. Just close your eyes and go to him in prayer. Like this. Heavenly father. Heavenly father. Together","Thank you for sending your only begotten son. What a second, no! What are you doing?! Jesus, I accept you into my heart. No! This sucks. Stop! You guys would never do this. Together: Fill me with your spirit. Make me a shining city on a hill for you. No! No! No, no, no. Make me born again. No! In Jesus' name, we pray. Amen. Amen. Amen! You did it! Way to go, Morty! Crossy. Bible-saurus. You made it. We wouldn't miss this for anything! You said it, Mr. Celery. What the fuck is all of this?! Greatest story ever told, story lord. No, it's not. It's awful!  I beg your pardon? Ah! Goddamn.  My lord and my God! No! No! It sucks in here. Let's get the fuck outta here. Go, now. Ugh. We're safe, Morty. Nobody ever wanted to see that shit. Wh-what's gonna happen to story lord? He gets to spend eternity in every writer's hell... The Bible. I don't know. Some people actually like that stuff. Seems kind of cynical. I just don't like taking cheap shots, you know? Cheap shots? Morty, we were literally Saved by Jesus Christ. Tell me in any way how that's offensive. This was a little confusing, But I guess it brought us closer together, you know? Tested our demons. Made us believe in ourselves more than ever. Yeah. You're right, Morty. We got all that meta-canon shit outta the way And now we can just be ourselves. Now what do you say we bring this train into the station.  ?  ? Oh, shit. Morty: So what do you think? Wow. Where did you get this thing? The citadel of Ricks gift shop. Do you really like it? I didn't think you'd even care. What? Morty. No. I love it. You did the most important thing. You... you bought something. What? You bought something. With money. God. I love money so much, Morty. Are you being sarcastic? Merchandise, Morty. Your only purpose in life is to buy and consume merchandise. And you did it. You went into a store... an actual honest to God store... And you bought something. You didn't ask questions or raise ethical complaints. You... you just looked straight into the bleeding jaws of capitalism and said ""yes, daddy, please."" And I'm... I'm so proud of you. I only wish you could've bought more. I... I love buying things so much, Morty. Rick, are... are you... Do you need to go to the hospital? I love you, Morty. Give grandpa a kiss. Give... give... gimme... Give grandpa a kiss. Lips if you want. What... whatever you're comfortable with. Some cultures do that. That was sweet. Thank you. I... I love you. You're my little buddy. Okay. Let's watch some interdimensional cable.   So you're saying my father And his kingdom... Well, yes... it's based on the fusion of a sumerian God named ""ya"" And a mesopotamian God named ""way."" And we're in a toy train? Yes. It's enough to really make you question All of existence, isn't it? So what do you think you're gonna do about it? I'm gonna do what I've always done. I'm gonna get the fuck outta here. Father of omens! Give me blood beyond sight!  Hey, what the fuck, Morty? The train you got me just completely derailed itself. There's blood all over the windows on it. Oh, man, I'm sorry, Rick. I guess I'll return it. Return... Are you insane? Did you hear nothing I said? Buy another one, Morty. Consume, Morty. Nobody's out there shopping with this fucking virus. Where's your fucking wallet?!  ?  ?  ?  ?  ?  ?"
4,Never Ricking Morty,Rick,Tired of the same boring adventures With your dogshit Morty?
4,Never Ricking Morty,Deep voice,Story train. Story train.
4,Never Ricking Morty,Rick,"The citadel of Rick's story train Comes with car after car of enemies, lovers, and goomby, all grappling with the nature of who you truly are. Rick is a God! Tickets please. Whoa! Watch out! It's story lord! Damn. He's jacked. Deep voice: Pure cum gutter. Rick: And of course, what story would be complete without the engineer of the greatest story ever told. Oh, Jesus Christ. Jesus: I have come not to judge The world, but to save it. Rick: And the best part is, the fun never ends. Thanks to the Rick-patented anthology generator, You'll never run out of new stories And people to tell them. Are they alive? Of course. But not in any ways that matter. Deep voice: They. Have. No. Souls. Puppets. Of. Fate. Rick: The story train. Available now. In the citadel of Ricks Buy it ironically. Buy it sincerely. Just buy it. Not buying it is an act of buying it. Buy it now. Look it up. It's real. Www.Story-train.Com. On the Internet. It's there. Buy it. Buy the train. We want you to buy the train."
4,Star Mort Rickturn of the Jerri,Space Beth,My name is Beth Smith. Tell your top bugs the Defiance lives on.
4,Star Mort Rickturn of the Jerri,Space Beth,Beth Smith.
4,Star Mort Rickturn of the Jerri,Space Beth,You could connect it to not dying.
4,Star Mort Rickturn of the Jerri,Space Beth,Damn it. We risked our lives for that? You did your best.
4,Star Mort Rickturn of the Jerri,Space Beth,I don't have to miss it. I'm technically still there. My dad made a perfect clone of me to take my place.
4,Star Mort Rickturn of the Jerri,Space Beth,Who cares? Are we done?
4,Star Mort Rickturn of the Jerri,Beth,Dr. Wong had a cancellation today. Anybody up for a family session?
4,Star Mort Rickturn of the Jerri,Summer,I could do that. I'm... I'm down to clown.
4,Star Mort Rickturn of the Jerri,Jerry,"Ooh, not sure my therapy puppet will be done in time."
4,Star Mort Rickturn of the Jerri,Beth,"Great, because she specifically asked you to stop bringing puppets. Dad?"
4,Star Mort Rickturn of the Jerri,Rick,"I love therapy, family therapy most of all, but I am actually disintegrating. Whoa! Oh, my God! Dad!"
4,Star Mort Rickturn of the Jerri,Jerry,Is that really it? We did it? It's the invisibility belt. Whoa-whoa-whoa!
4,Star Mort Rickturn of the Jerri,Rick,"He grazed them. That's gonna hurt in like 10 seconds. Thanks, Morty. Why should I let you use it? You never let me use it. Can I have the belt? It would really piss off Morty. Fantastic idea."
4,Star Mort Rickturn of the Jerri,Morty,"What the hell?! You jerk! Give it! Hey! Ow! Share the invisibility. Jerry? Ooh, this looks like a job for Mr. Nibbles. Let me just glue one more eye on. I'm gonna kill you!"
4,Star Mort Rickturn of the Jerri,Rick,Woof. Looks like you two have to fight about why you can't control your kids. Good thing Dr. Wong's got an opening. Bye.
4,Star Mort Rickturn of the Jerri,Beth,You're a bad father.
4,Star Mort Rickturn of the Jerri,Jerry,Don't let him divide us.
4,Star Mort Rickturn of the Jerri,Rick,"Garage, family therapy mode. Ah. Honey, you're back."
4,Star Mort Rickturn of the Jerri,Space Beth,You seem surprised.
4,Star Mort Rickturn of the Jerri,Rick,You never wrote.
4,Star Mort Rickturn of the Jerri,Space Beth,And never exploded?
4,Star Mort Rickturn of the Jerri,Rick,What I'm hearing is that you think that's a bomb.
4,Star Mort Rickturn of the Jerri,Space Beth,So does every engineer that's seen it.
4,Star Mort Rickturn of the Jerri,Rick,"Engineer? Princess, I'm sure every caveman that sees a microwave calls it a rock cabinet. The point of inventing is to make things that don't exist."
4,Star Mort Rickturn of the Jerri,Space Beth,Then whip me up a reason not to kill you.
4,Star Mort Rickturn of the Jerri,Beth,Dad? We're off to Dr. Wong's.
4,Star Mort Rickturn of the Jerri,Rick,Scan her.
4,Star Mort Rickturn of the Jerri,Beth,Dad?
4,Star Mort Rickturn of the Jerri,Space Beth as Rick,"Okay, have fun, pumpkin. Sorry I'm a piece-of-shit father."
4,Star Mort Rickturn of the Jerri,Space Beth,"Oh, ha-ha! Well, the self-loathing buys a lot back."
4,Star Mort Rickturn of the Jerri,Beth,"Jerry, leave the puppet."
4,Star Mort Rickturn of the Jerri,Jerry,"It's a one-way ticket to a breakthrough, Beth."
4,Star Mort Rickturn of the Jerri,Rick,The device in her neck would have transferred a database of her memories to your device before vaporizing her. So much for that plan.
4,Star Mort Rickturn of the Jerri,Space Beth,Why is she... it... why am I back with Jerry? I thought she was a copy of me.
4,Star Mort Rickturn of the Jerri,Rick,"She is a copy of you. If she ran back to that dingleberry, that's on you. Want to grab a drink?"
4,Star Mort Rickturn of the Jerri,Space Beth,All the time.
4,Star Mort Rickturn of the Jerri,Rick,Good girl.
4,Star Mort Rickturn of the Jerri,Morty,To catch a predator.
4,Star Mort Rickturn of the Jerri,Summer,What the hell?!
4,Star Mort Rickturn of the Jerri,Morty,"Thermal goggles, bitch. Mom said share."
4,Star Mort Rickturn of the Jerri,Summer,You can't share invisibility. Take those off.
4,Star Mort Rickturn of the Jerri,Morty,No.
4,Star Mort Rickturn of the Jerri,Summer,So I'll just see you at cheerleader practice? Should I bring a poncho?
4,Star Mort Rickturn of the Jerri,Morty,All right! State your terms.
4,Star Mort Rickturn of the Jerri,Summer,Give back the belt. You take the goggles. Go away. We trade in an hour.
4,Star Mort Rickturn of the Jerri,Morty,Deal.
4,Star Mort Rickturn of the Jerri,Summer,"How do you like that, bitch?"
4,Star Mort Rickturn of the Jerri,Morty,"Iliked it more than my old belt. ""Tiny Big Man Junior""? You shoulda shared."
4,Star Mort Rickturn of the Jerri,Random guy,What are you doing in my house?
4,Star Mort Rickturn of the Jerri,Summer,Did I wander that far from my console? They should put a warning on these things.
4,Star Mort Rickturn of the Jerri,Space Beth,"So, we overrode the gates, and the slave rebellion took the capital. Pretty cool."
4,Star Mort Rickturn of the Jerri,Rick,"Very cool. My daughter, having space adventures. They are skewing a tad ""Star Wars""-y, though. Don't forget to have fun."
4,Star Mort Rickturn of the Jerri,Space Beth,"Well, I came back to murder you, not get your notes, but I'll remember to fart more while I'm saving the galaxy."
4,Star Mort Rickturn of the Jerri,Rick,"Okay, I'm the one that made this possible. It's not a competition. Of course not."
4,Star Mort Rickturn of the Jerri,Space Beth,"Just curious, though, if it were, would ""most wanted"" be first place?"
4,Star Mort Rickturn of the Jerri,Rick,You're fighting the Gromflomites?
4,Star Mort Rickturn of the Jerri,Space Beth,"Dad, they're trying to take over the galaxy!"
4,Star Mort Rickturn of the Jerri,Rick,"Everybody in the galaxy tries to take over the galaxy. The trick is to be left alone by whoever succeeds. Eh, it's your hero phase. I had one, too. You'll outgrow it."
4,Star Mort Rickturn of the Jerri,Space Beth,"No, you did. I'm not gonna outgrow giving a shit."
4,Star Mort Rickturn of the Jerri,Space Beth,"Oh, come on."
4,Star Mort Rickturn of the Jerri,Rick,"Way to give a shit. Next time, don't wipe it on your home planet. Oh, shit. They're gonna track down Beth."
4,Star Mort Rickturn of the Jerri,Space Beth,You mean... Beth's clone.
4,Star Mort Rickturn of the Jerri,Rick,Right. Beth's clone. What... What did I say? It really was nice seeing you again.
4,Star Mort Rickturn of the Jerri,Morty,You're a monster!
4,Star Mort Rickturn of the Jerri,Summer,Still wanna share?
