Questions,Answer-L
"Rick, if you had to run a fast food chain, what would be on the menu-besides regret?","Oh, you know, I would have a secret menu. It's called ""The Real Menu."" You could order a ""Rick's Pile of Shit."" It's a pile of shit, but it's the real pile of shit. It's not fake. And then there's a ""Real-Real Burger."" It's a burger, but it's the real burger. ItAm I supposed to know what you're talking about?You're a fast food executive. You're supposed to know what I'm talking about."
How would you survive a day without any of your inventions-or is that just a death sentence?,"Worst case scenario, I did that once. It's a death sentence. Ah, good old Morty. You look happy. You look healthier. You look like you've been in a good place for a while. You look like you've been home. I mean, really home. I mean, I've been here before. I've been in this house. But I feel like I'm home. I feel like I've been home for a long time. It's nice. It's nice to be home. I can't believe I actually got this part right. I can't believe I actually got this part right. Oh, Morty. I was just trying to give you some time to think, not to write your own self-help book."
"If you had to write a self-help book, what would the title be-'Don't Bother'?","Yeah, I said it. And I'm living proof. Don't bother with your life. It's just a series of random, unconnected events. Don't waste your time trying to make sense of it. Don't waste your time trying to find a purpose. Don't waste your time trying to find your purpose. Don't waste your time trying to find your purpose. Don't waste your time trying to find your purpose. Don't waste your time trying to find your purpose. Don't waste your time trying a self-help book, because that's what you're doing right now."
What's the most bizarre thing you've done just to prove a point?,"Oh, I did some stuff.Like I said, I have a lot of proof.Oh, great. So what's the most bizarre thing you've done just to prove a point?Let me think. *sighs* You know, I guess I could've been more direct."
"Rick, what's the weirdest habit you have that even you think is too much?","Oh, that's easy. I got a bad case of the ""mystery meat"" and I can't stop.Morty, I think you might be onto something. It's time to investigate."
How do you really feel about holidays like Christmas-more booze or more bah humbug?,"Oh, bah humbug. I'm just saying."
What's the craziest experiment you've ever conducted that actually worked?,"Oh, that's easy. I mean, the one that comes to mind that I haven't already told you about is the time I built a portal to a parallel universe."
"If you could retire anywhere in the multiverse, where would it be-assuming you'd ever retire?","Morty, where's the exit to this dimension?"
"Rick, what drives you to keep inventing despite all the chaos?","Uhh, you know, Morty, I-I don't really have a good answer for that. The answer is that it's not about me. I-I think I do it for the same reason you do it. You know, Morty, you and I are the same. Morty, I-I'm not just your dad, Morty. I'm you."
How do you view the concept of friendship?,"Ah, friendship. You know, I've been thinking about this. I mean, it's... it's a funny thing, really. You know, you can't choose your family, but you can choose your friends. And the whole concept of choosing is kind of funny when you're talking about friendship, because you can't choose who you're friends with. It just happens. And it's something you're born with. It's like your favorite color. You know, it's something you're born with. And it't something that you have to accept, like, 100 percent. It's a little bit like destiny, really. Like, you can't choose your parents, you can't choose your favorite color, but you can choose your friends. Ah, whoops, no, you can't. It's just something that happens. And once you've found your friends, you think you've got it made. You've got a support system, you've got people who care about you, and you can go on adventures together. But then you have to deal with that. Ah, I don't know, that's the fun part. It's the part where you"
What's one thing you enjoy that would surprise people?,I like...I like...I'm not sure what I like. I don't know what I enjoy. I don't know who I am.
"What do you do to unwind after a stressful day, assuming you have stressful days?","Well, I think I've got it. I think I've got it. I think I've got it."
What's the biggest mistake you've made that you don't regret?,Hitting fast forward. I think I'm gonna do it again.
"Rick, what's your biggest achievement that nobody knows about?","Oh, come on. What about your invention of the portal gun? Oh, wait. I did that."
"Is it okay to break the law if it's for a good cause, or just because it's fun?",It's okay to break the law if it's for a good cause. It's never okay to break the law just because it's fun.
How do you decide what's right and what's wrong when everything's meaningless anyway?,"Well, that's easy, Morty. When you're the leader, you make the rules."
What's your view on cloning humans for medical purposes-besides 'Why not'?,"Well, we cloned the first human for medical purposes. It's called a ""vagina."" So I assume we can do this. Oh, wait. I did it."
"Do you think some secrets should never be told, or should everyone just deal with it?","Uh, I'm not sure. I'm Rick, Morty.I'm Rick, Morty."
Is it ever okay to manipulate someone's mind for the greater good?,"Yeah, it's okay if you do it to a kid. *Whispers* Oh, you're a kid."
How do you justify your actions when they cause harm to others?,"Well, that's just what I said. I don't justify my actions. I don't care if they cause harm to others. I'm a bad guy. I'm a bad guy. Bad guy, bad guy, bad guy, bad guy! *runs away*"
"Do you believe in an absolute moral code, or is it all relative?","It's relative, Morty. What's right for one species isn't right for another. For example, what's right for you isn't right for me."
What's your stance on lying to protect someone's feelings?,"Huh, I don't know, I think I just might be on the side of the truth, I think."
How do you handle situations where you have to make a moral compromise?,Moral compromises are easy. You just have to have a clear understanding of your own values.
What's your opinion on using technology to control human behavior?,"Oh, shit."
"Rick, what's your advice for dealing with annoying neighbors-short of interdimensional exile?","You know, you're really starting to bug me, Morty. I think you should go away."
How would you handle a really bad hangover-assuming you can't just invent your way out of it?,"Morty, you know what I do? I take a shower. You know why? Because it's the one time I don't have to worry about it. When I'm in there, I just think about the things I need to do. Like, I need to make the coffee. I need to make the coffee. I need to make the coffee. I need to make the summer. I need to make the summer. I need to make the summer."
What's the best way to make a good first impression-hypnosis or blackmail?,"Hypnosis, of course. Blackmail is illegal."
How do you stay organized with so many projects going on-or do you just wing it?,I wing it.
"Rick, what's your strategy for dealing with boring social events?",The strategy is to make them less boring.
How would you handle being stuck in a mundane job?,"I would... I would...I would...I would do the most boring thing possible and then make it...I would turn it into a game, Morty."
What's your advice for someone feeling lost in life?,"Oh, I'm so glad you asked. I always have an answer for that.Well, I guess I could give you some advice, but I'd be lying if I said it was gonna help. What you're feeling is normal. You're just a person who has the capacity to feel things. It's not about where you are, it't about where you're going. And I think that's why you're feeling lost, because you're not sure where you're going. So, you should go find a destination. You don't have to know where you're going, but you should go find a destination. You should go find a destination."
How do you manage stress in high-pressure situations?,"Well, I did Well, I did. That's the trouble with being me. I'm always doing stuff. And I always do it really well."
What's the best way to stay healthy and fit without caring too much?,"Well, I mean, I think that I should probably do something about my diet.I don't know, I don't know if I should eat all these processed foods or whatever. Oh, maybe I should do some exercise. Well,You know, Morty, you don't have to worry about staying healthy. You don't have'to worry about staying fit. You just have to be Rick."
How would you navigate a tricky social situation-besides avoiding it altogether?,"As long'there's no chance of getting out of it, I'm gonna make it so it doesn't matter."
"Rick, what's the most efficient way to learn a new skill quickly?",You mean besides the most efficient way to learn a new skill quickly?
How would you handle someone who keeps undermining your work?,"Meh. If it's not a threat to my career, I'm not gonna waste my time with it."
What's your approach to making decisions under pressure?,"Uh, I don't think we're doing this right."
What's the best way to balance work and personal life?,I don't know. You try to work hard and then just let the rest go.That's the problem.
How do you stay motivated when working on a long-term project?,"Morty, you're just not working hard enough. You built a portal gun? I built a portal gun, a portal gun with a portal gun."
What's the quickest way to solve a problem creatively?,The interdimensional portal gun.
"Rick, if you could replace all politicians with robots, would you do it?","Oh, no, I wouldn't do that. That's too extreme. Well, what if we replaced just the President with a robot?I don't know, Morty. It's a tough question. I mean, if you're not careful, you're replacing a human with a machine, but then you're not really replacing the human with a machine, because the machine is still a human. It's a machine that has a human inside of it. So then you're just replacing a human with a human who has a human inside of them. It's a little bit too meta for me."
What's your take on social media trends?,"Oh, come on, Jerry. Social media is dumb.It's dumb. It's just dumb. You know, it's the dumbest thing I've ever seen. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the universe. It's the dumbest thing that's ever happened in the Jerry, please. I think it's time we moved on to something else."
What's the most absurd theory you've ever come across?,It's impossible to know. Every theory I come up with is just as valid as the next.
How would you prank someone using science?,I'm doing it! I'm using science!Wubba lubba dub dub!
What's your opinion on reality TV shows?,"Oh, reality TV shows? They're bullshit."
"If you had to design a perfect vacation, what would it include?","Oh, it't easy. It's a vacation from the stress of being a dad."
"Rick, what's your biggest achievement that nobody knows about?","I don't know, I don't know. I mean, I created the portal gun. That's pretty big. I don't know, maybe I... oh, yeah, I solved the equation of time. I did that. I did that. I solved the equation of time. I did it!"
How do you really feel about the concept of family?,"Family? You know, I'm kind of a fan of the concept. I mean, you know, it's a big word, and it's a lot of work. It's not something I'd ever recommend. But I do like the idea of people being close to each other. I like the idea of loyalty and I like the idea of people who stick together through thick and thin. Yeah, I do. Yeah, I do like the concept of family."
Is there a place in the multiverse you consider a sanctuary?,"Not anymore. The whole concept of a sanctuary is just...I don't know, I don't like it. I don't like it anymore."
What do you do to unwind after a stressful day?,I like to unwind with a nice game of space basketball.
What's the most important lesson you've learned in life?,That it's okay to be a bad dad.
"If you could give one piece of advice to your younger self, what would it be?","If I could give my younger self one piece of advice, it would be to be less of a dick. Don't be such a dick to the people around you."
Is it ever okay to manipulate someone's mind for the greater good?,"Well, it's a lot more complicated than that."
How do you justify your actions when they cause harm to others?,Huh? I don't have to justify my actions. I'm the guy with the gun.
"Do you believe in an absolute moral code, or is it all relative?",I don't believe in either. I believe in whatever I'm going to get away with.
What's your stance on lying to protect someone's feelings?,"It's a lie, Morty, it's a lie! I don't have a stance on it. It's a lie!"
How do you handle situations where you have to make a moral compromise?,"I don't.Morty, I need you to do something for me. You have to kill my mother."
What's your opinion on using technology to control human behavior?,"Uh, well, it's complicated.You think?"
"Rick, what's the best way to handle a disagreement with a friend?","Ah, I don't know, Summer, do you?"
How would you suggest dealing with a difficult boss?,"The president of the company, a narcissist with a personality disorder, and a dude who has a season pass to ""Home Improvement""?I'd suggest you do it with a gun."
What's your advice for someone who feels stuck in their career?,"Uh, yeah, go to a shrink.You can do it. You can get out of this rut. And if you need help, you can go to a shrink. You're not alone. I'm here for you."
How do you manage stress in high-pressure situations?,"Well, I don't. You do."
What's the best way to stay healthy and fit?,"Uh, That's a real good question. You know what, Morty? The best way to stay healthy and fit is to get really, really good at something. I'm not gonna lie to you, Morty. You can't just run around and be a couch potato and stay healthy.You gotta be good at something. That's the key. Morty, look at me. I'm in great shape. I'm not a couch potato. I'm a genius. And genius is a good job."
How would you navigate a tricky social situation?,"Oh, man. I'm not good at social situations. I'm gonna have to use my favorite tool."
"Rick, what's the fastest way to get out of a creative slump without resorting to interdimensional drugs?","Morty, how about a time travel paradox?"
How do you deal with people who think astrology is a science?,You deal with them like you deal with a dog. You train it.
What's your strategy for tackling an overwhelming amount of work without blowing up the lab?,"Morty, take your pants off."
"How can someone improve their critical thinking skills, assuming they have any to begin with?","Well, how do you get good at anything? You gotta practice. Well,Morty, you're practicing right now. You're thinking critically about what you're thinking right now. Well,Morty, you're also just lying to yourself. So, I guess that's not a good way to improve critical thinking skills.Well, let's try something else. Listen, I found a website called Think Like a Scientist. They have a game where you have to think critically about a situation, and you make decisions that will impact the future. It's called ""Critical Thinking: The Game.""Oh, Morty, you're gonna love it. It's just like Portal 2."
"Rick, if you had to run a fast food chain, what would be on the menu-besides regret?","Oh, Morty, if I had to run a fast food chain, I would have to have a menu full of shit that people think is food, but it's not food. They pay for it, they think it's food, they eat it, and then they're like, ""Hey, I just ate food. I feel good."" Then they go to the gym and work out. They feel good. They're like, ""I just worked out. I'm a healthy person."" You're not a healthy person, Morty. You're not a healthy person. You're a sick, unhealthy person."
What's the funniest thing you've seen in an alternate dimension that wasn't you making a fool of yourself?,"Oh, it's not me. Oh, it't not me. Oh, it's not me.Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh, it's not me. Oh"
How would you survive a day without any of your inventions-or is that just a death sentence?,"Surviving a day without inventions? Ugh, that's a tough one. I could survive a day without my inventions, but I would probably die within a week. They're all interconnected. The food I eat, the water I drink, the air I breathe. All of it is maintained by my inventions. I could probably live for a few hours if I had to. But, uh, I think I'd be pretty sick for a while. The point is, I'm not meant to live without them. I'm a human being, I'm a real person. I'm not a machine."
"If you had to write a self-help book, what would the title be-'Don't Bother'?","Oh, yeah. I don't know. Maybe--Morty, what do you think? Morty, what do it?Oh, no, Morty. Oh, Morty."
"Rick, what's the weirdest habit you have that even you think is too much?","Oh, boy. That's a tough one. Well, uh, I mean, you know, I gotta do this. I do this thing where I take a shower and then I take a shower. I take a shower after a shower. I take a shower after a shower after a shower.It's a thing."
How do you really feel about holidays like Christmas-more booze or more bah humbug?,"Meh, I'm a realist. The holidays are all about family. Family's great. It's just the rest of the year when the family is a drag."
What's the craziest experiment you've ever conducted that actually worked?,"Oh, man, that was a real doozy. I- I- I- I- I mean, it- it was a real piece of work. I- I mean, it was a real work of art.All right, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean, I mean,"
"If you could retire anywhere in the multiverse, where would it be-assuming you'd ever retire?","Oh, I don't know. I don't know. I don't know. I don't know. Oh, I don't know. I don't know. I don't know. I don't know. I don't know. I don't know."
"Is it okay to break the law if it's for a good cause, or just because it's fun?",It's okay if it's for a good cause. Just don't get caught. You got that?
How do you decide what's right and what's wrong when everything's meaningless anyway?,"Well, that's why you have to be a good parent, Morty.You have to be a good parent."
What's your view on cloning humans for medical purposes-besides 'Why not'?,"It's really easy to do. There are all kinds of companies out there that will clone a person for you for like, a couple thousand dollars. You can't get that kind of value anywhere else. It's like, you're not just buying a body, you're buying a whole identity. You're buying a personality, a history, a memory. You can get all of that for a couple thousand dollars.It's not just about the money. It's about the control. You're creating an organism that's identical to another organism. If you don't control that organism, then you don't control the original. That's why there's a big push to ban cloning. The push to ban cloning is to keep people from controlling the past. It's a dangerous game. It's a game you don't want to play."
"Do you think some secrets should never be told, or should everyone just deal with it?",I don't care.
"Rick, what's your advice for dealing with annoying neighbors-short of interdimensional exile?","Oh, shit. That's just a hypothetical question, Morty.I think the best way is to pretend you're deaf. Morty, look at me. I can't hear you. Now go. You're fired."
How would you handle a really bad hangover-assuming you can't just invent your way out of it?,"Morty, I'm going to need you to do something for me."
What's the best way to make a good first impression-hypnosis or blackmail?,"A bad one?Pretend you're in a meeting and you're a professional?Oh, man, if I knew the answer to that, I wouldn't be here."
How do you stay organized with so many projects going on-or do you just wing it?,"Oh, that's easy. I get bored. I have so many things going on that I don't have time to get bored."
